station,站名,lon,lat
54939,莒南,118.83333333333333,35.25
54940,五莲,119.2,35.75
54943,胶南,120.0,35.88333333333333
54945,日照,119.53333333333333,35.43333333333333
58002,曹县,115.55,34.81666666666667
58003,成武,115.88333333333334,34.95
58011,单县,116.06666666666666,34.8
58020,微山,117.13333333333334,34.85
58021,薛城,117.25,34.78333333333333
58022,峄城,117.8,34.766666666666666
58024,枣庄,117.58333333333333,34.86666666666667
58025,台儿庄,117.73333333333333,34.56666666666667
58030,苍山,118.1,34.9
58032,临沭,118.65,34.93333333333333
58034,郯城,118.36666666666666,34.61666666666667
54868,千里岩,121.38333333333334,36.266666666666666
54952,潮连岛,120.85,35.88333333333333
53478,右玉,112.45,40.0
53486,阳高,113.76666666666667,40.36666666666667
53487,大同,113.33333333333333,40.1
53488,大同县,113.58333333333333,40.03333333333333
53490,天镇,114.05,40.43333333333333
53564,河曲,111.15,39.38333333333333
53565,偏关,111.5,39.43333333333333
53573,左云,112.7,40.0
53574,平鲁,112.26666666666667,39.516666666666666
53575,神池,112.2,39.1
53576,山阴,112.81666666666666,39.5
53577,宁武,112.3,39.0
53578,朔州,112.43333333333334,39.3
53579,代县,112.9,39.016666666666666
53580,怀仁,113.1,39.81666666666667
53582,浑源,113.68333333333334,39.71666666666667
53584,应县,113.16666666666667,39.56666666666667
53585,繁峙,113.26666666666667,39.166666666666664
53588,五台山,113.51666666666667,38.95
53590,广灵,114.26666666666667,39.75
53594,灵邱,114.18333333333334,39.45
53659,临县,111.0,37.96666666666667
53660,保德,111.08333333333333,39.016666666666666
53662,岢岚,111.58333333333333,38.71666666666667
53663,五寨,111.81666666666666,38.916666666666664
53664,兴县,111.13333333333334,38.46666666666667
53665,岚县,111.65,38.28333333333333
53666,静乐,111.93333333333334,38.35
53669,娄烦,111.78333333333333,38.06666666666667
53673,原平,112.71666666666667,38.733333333333334
53674,忻州,112.7,38.416666666666664
53676,定襄,112.98333333333333,38.5
53677,太原北郊,112.48333333333333,37.93333333333333
53678,阳曲,112.66666666666667,38.06666666666667
53679,太原南郊,112.55,37.733333333333334
53681,五台县豆村,113.36666666666666,38.833333333333336
53685,盂县,113.41666666666667,38.06666666666667
53687,平定,113.63333333333334,37.78333333333333
53753,柳林,110.88333333333334,37.43333333333333
53759,石楼,110.83333333333333,36.983333333333334
53760,方山,111.23333333333333,37.88333333333333
53763,太原古交区,112.16666666666667,37.916666666666664
53764,离石,111.1,37.5
53767,中阳,111.16666666666667,37.333333333333336
